time	T1	T2	T3
2019-10-13T01:38:24	25	401	402
2019-10-13T01:38:34	25	401	402
2019-10-13T01:38:44	25	401	402
2019-10-13T01:38:54	25	401	402
2019-10-13T01:39:04	25	401	402
2019-10-13T01:39:14	25	401	402
2019-10-13T01:39:24	25	402	402
2019-10-13T01:39:34	25	402	402
2019-10-13T01:39:44	25	402	402
2019-10-13T01:39:54	25	401	402
2019-10-13T01:40:04	25	401	402
2019-10-13T01:40:14	25	402	402
2019-10-13T01:40:24	25	401	402
2019-10-13T01:40:34	25	402	402
2019-10-13T01:40:44	25	402	402
2019-10-13T01:40:54	25	402	402
2019-10-13T01:41:04	25	402	402
2019-10-13T01:41:14	25	402	402
2019-10-13T01:41:24	25	402	402
2019-10-13T01:41:34	25	401	402
2019-10-13T01:41:44	25	401	402
2019-10-13T01:41:54	25	401	402
2019-10-13T01:42:04	25	401	402
2019-10-13T01:42:14	25	401	402
2019-10-13T01:42:24	25	401	402
2019-10-13T01:42:34	25	402	402
2019-10-13T01:42:44	25	402	402
2019-10-13T01:42:54	25	401	402
2019-10-13T01:43:04	25	401	402
2019-10-13T01:43:15	25	402	402
2019-10-13T01:43:25	25	402	402
2019-10-13T01:43:35	25	402	402
2019-10-13T01:43:45	25	401	402
2019-10-13T01:43:55	25	401	402
2019-10-13T01:44:05	25	402	402
2019-10-13T01:44:15	25	401	402
2019-10-13T01:44:25	25	402	402
2019-10-13T01:44:35	25	402	402
2019-10-13T01:44:45	25	402	402
2019-10-13T01:44:55	25	402	402
2019-10-13T01:45:05	25	402	402
2019-10-13T01:45:15	25	402	402
2019-10-13T01:45:25	25	402	402
2019-10-13T01:45:35	25	402	402
2019-10-13T01:45:45	25	402	402
2019-10-13T01:45:55	25	401	402
2019-10-13T01:46:05	25	402	402
2019-10-13T01:46:15	25	402	402
2019-10-13T01:46:25	25	402	402
2019-10-13T01:46:35	25	402	402
2019-10-13T01:46:45	25	401	402
2019-10-13T01:46:55	25	401	402
2019-10-13T01:47:05	25	401	402
2019-10-13T01:47:15	25	401	402
2019-10-13T01:47:25	25	402	402
2019-10-13T01:47:35	25	402	402
2019-10-13T01:47:45	25	402	402
2019-10-13T01:47:55	25	402	402
2019-10-13T01:48:05	25	402	402
2019-10-13T01:48:15	25	402	402
2019-10-13T01:48:25	25	402	402
2019-10-13T01:48:35	25	402	402
2019-10-13T01:48:45	25	401	402
2019-10-13T01:48:55	25	401	402
2019-10-13T01:49:05	25	402	402
2019-10-13T01:49:15	25	402	402
2019-10-13T01:49:25	25	402	402
2019-10-13T01:49:35	25	402	402
2019-10-13T01:49:45	25	402	402
2019-10-13T01:49:55	25	402	402
2019-10-13T01:50:05	25	402	402
2019-10-13T01:50:15	25	401	402
2019-10-13T01:50:25	25	401	402
2019-10-13T01:50:35	25	401	402
2019-10-13T01:50:45	25	402	402
2019-10-13T01:50:55	25	402	402
2019-10-13T01:51:05	25	402	402
2019-10-13T01:51:15	25	401	402
2019-10-13T01:51:25	25	401	402
2019-10-13T01:51:35	25	401	402
2019-10-13T01:51:45	25	401	402
2019-10-13T01:51:55	25	401	402
2019-10-13T01:52:05	25	402	402
2019-10-13T01:52:15	25	402	402
2019-10-13T01:52:25	25	402	402
2019-10-13T01:52:35	25	402	402
2019-10-13T01:52:45	25	402	402
2019-10-13T01:52:55	25	402	402
2019-10-13T01:53:05	25	402	402
2019-10-13T01:53:15	25	402	402
2019-10-13T01:53:25	25	401	402
2019-10-13T01:53:35	25	401	402
2019-10-13T01:53:45	25	401	402
2019-10-13T01:53:55	25	401	402
2019-10-13T01:54:05	25	402	402
2019-10-13T01:54:15	25	402	402
2019-10-13T01:54:25	25	402	402
2019-10-13T01:54:35	25	402	402
2019-10-13T01:54:45	25	402	402
2019-10-13T01:54:55	25	401	402
2019-10-13T01:55:05	25	401	402
2019-10-13T01:55:15	25	401	402
2019-10-13T01:55:25	25	402	402
2019-10-13T01:55:35	25	402	402
2019-10-13T01:55:45	25	402	402
2019-10-13T01:55:55	25	402	402
2019-10-13T01:56:05	25	401	402
2019-10-13T01:56:15	25	401	402
2019-10-13T01:56:25	25	401	402
2019-10-13T01:56:35	25	401	402
2019-10-13T01:56:45	25	402	402
2019-10-13T01:56:55	25	402	402
2019-10-13T01:57:05	25	402	402
2019-10-13T01:57:15	25	402	402
2019-10-13T01:57:25	25	402	402
2019-10-13T01:57:35	25	402	402
2019-10-13T01:57:45	25	402	402
2019-10-13T01:57:55	25	401	402
2019-10-13T01:58:05	25	401	402
2019-10-13T01:58:15	25	402	402
2019-10-13T01:58:25	25	402	402
2019-10-13T01:58:35	25	402	402
2019-10-13T01:58:45	25	402	402
2019-10-13T01:58:55	25	402	402
2019-10-13T01:59:05	25	402	402
2019-10-13T01:59:15	25	402	402
2019-10-13T01:59:25	25	402	402
2019-10-13T01:59:35	25	402	402
2019-10-13T01:59:45	25	402	402
