Время	T01	T02	T03	T04	T05	T06	T07	T08	T09	P	N2
1543924996199	-1	3	6	2	4	3	2	2	3	141	1
1543925006200	-1	3	5	2	4	3	2	2	3	141	1
1543925016201	-1	3	6	2	4	3	2	2	3	141	1
1543925026202	-1	3	6	2	4	3	2	2	3	141	1
1543925036202	-1	3	6	2	4	3	2	2	3	141	1
1543925046203	-1	3	6	2	4	3	2	2	3	141	1
1543925056203	-1	3	6	2	4	3	2	2	3	141	1
1543925066203	-1	3	6	2	4	3	2	2	3	141	1
1543925076205	-1	3	6	2	4	3	2	2	3	141	1
1543925086205	-1	3	6	2	4	3	2	2	3	141	1
1543925096205	-1	3	6	2	4	3	2	2	3	141	1
1543925106206	-1	3	6	2	4	3	2	2	3	142	1
1543925116206	-1	3	6	2	4	3	2	2	3	142	1
1543925126205	-1	3	5	2	4	3	2	2	3	142	1
1543925136206	-1	3	6	2	4	3	2	2	3	142	1
1543925146205	-1	3	5	2	4	3	2	2	3	142	1
1543925156206	-1	3	5	2	4	3	2	2	3	142	1
1543925166207	-1	3	7	2	4	3	2	2	3	142	1
1543925176207	-1	3	7	2	4	3	2	2	3	142	1
1543925186208	-1	3	6	3	4	3	2	2	3	142	1
1543925196209	-1	3	6	2	4	3	2	2	3	142	1
1543925206210	-1	3	6	2	4	3	2	2	3	142	1
1543925216210	-1	3	6	2	4	3	2	2	3	142	1
1543925226209	-1	3	7	2	4	3	2	2	3	142	1
1543925236210	-1	3	6	2	4	3	2	2	3	142	1
1543925246210	-1	3	6	2	4	3	2	2	3	142	1
1543925256210	-1	3	5	2	4	3	2	2	3	142	1
1543925266210	-1	3	6	2	4	3	2	2	3	142	1
1543925276210	-1	3	6	2	4	3	2	2	3	142	1
1543925286210	-1	3	5	2	4	3	2	2	3	142	1
1543925296210	-1	3	5	2	4	3	2	2	3	142	1
1543925306211	-1	3	6	2	4	3	2	2	3	142	1
1543925316211	-1	3	6	2	4	3	2	2	3	143	1
1543925326211	-1	3	6	2	4	3	2	2	3	143	1
1543925336212	-1	3	6	2	4	3	2	2	3	143	1
1543925346213	-1	3	6	2	4	3	2	2	3	143	1
1543925356214	-1	3	6	2	4	3	2	2	3	143	1
1543925366214	-1	3	6	2	4	3	2	2	3	143	1
1543925376216	-1	3	6	2	4	3	2	2	3	143	1
1543925386217	-1	3	6	2	4	3	2	2	3	143	1
1543925396219	-1	3	6	2	4	3	2	2	3	143	1
